sample_idx,t_pc_s,segment_id,label,orta_acc_x,orta_acc_y,orta_acc_z,orta_gyro_x,orta_gyro_y,orta_gyro_z,sol_acc_x,sol_acc_y,sol_acc_z,sol_gyro_x,sol_gyro_y,sol_gyro_z,sag_acc_x,sag_acc_y,sag_acc_z,sag_gyro_x,sag_gyro_y,sag_gyro_z
50,3.069374,1,rest_initial,1.1205,0.6871,9.1722,0.0578,0.0407,0.0045,0.4142,0.2203,9.9718,0.0277,0.0405,0.0133,0.7733,-0.0168,9.7731,-0.016,-0.0607,-0.0141
51,3.0697174,1,rest_initial,1.142,0.6943,9.1722,0.0597,0.0399,0.0075,0.4022,0.249,9.9072,0.0306,0.0383,0.0144,0.7326,0.0527,9.8114,-0.013,-0.0602,-0.0149
52,3.0700234,1,rest_initial,1.0702,0.7063,9.1554,0.061,0.0397,0.0107,0.4238,0.2059,9.8402,0.0317,0.0407,0.0138,0.6943,0.0479,9.7755,-0.0152,-0.0581,-0.013
53,3.0703214,1,rest_initial,1.0774,0.7135,9.1554,0.0642,0.0378,0.0096,0.4836,0.2849,9.991,0.0309,0.0442,0.0125,0.747,0.0359,9.9024,-0.0128,-0.0621,-0.016
54,3.0706342,1,rest_initial,1.154,0.6919,9.0118,0.0658,0.0421,0.0048,0.4286,0.1915,9.924,0.0293,0.0405,0.0107,0.7302,0.0048,9.7205,-0.0141,-0.0634,-0.0186
55,3.0709389,1,rest_initial,1.1157,0.6584,9.0908,0.066,0.0386,0.0117,0.4166,0.2155,9.9144,0.029,0.0399,0.0133,0.7135,0.0575,9.9527,-0.0091,-0.0599,-0.0152
56,3.0713019,1,rest_initial,1.087,0.723,9.1602,0.0575,0.0418,0.0077,0.3974,0.2586,9.991,0.0274,0.0394,0.0104,0.6991,0.0168,9.8737,-0.0168,-0.0602,-0.0146
57,3.0716222,1,rest_initial,1.0965,0.7039,9.0836,0.0655,0.041,0.0075,0.4046,0.249,9.9072,0.0312,0.0386,0.0128,0.7207,0.0838,9.845,-0.0112,-0.0607,-0.016
58,3.0719279,1,rest_initial,1.0798,0.7039,9.2201,0.066,0.036,0.0083,0.3926,0.1987,9.924,0.0301,0.0405,0.0128,0.7374,0.0407,9.9503,-0.0138,-0.0652,-0.0107
59,3.0722257,1,rest_initial,1.1588,0.6704,9.1051,0.0621,0.0386,0.0032,0.4262,0.249,9.9503,0.0288,0.0389,0.012,0.7111,-0.012,9.742,-0.0128,-0.0591,-0.012
60,3.0725239,1,rest_initial,1.0822,0.6943,9.1267,0.0631,0.0386,0.0043,0.4046,0.2801,9.9264,0.032,0.0402,0.0144,0.6967,0.0335,9.8904,-0.0125,-0.0573,-0.0149
61,3.0728345,1,rest_initial,1.1013,0.7638,9.2225,0.0642,0.0386,0.0056,0.3711,0.237,9.9575,0.0304,0.0413,0.0138,0.7159,0.0359,9.8665,-0.0157,-0.0615,-0.0162
62,3.073147,1,rest_initial,1.0678,0.6991,9.1171,0.0644,0.0368,0.0072,0.3807,0.2753,9.8665,0.033,0.0362,0.0123,0.7015,0.0311,9.8282,-0.0056,-0.0591,-0.0146
63,3.0734466,1,rest_initial,1.0846,0.7159,9.1339,0.0676,0.0437,0.0069,0.3735,0.2251,10.0054,0.0312,0.0383,0.0176,0.7733,0.0407,9.8306,-0.0104,-0.0621,-0.0168
64,3.0737547,1,rest_initial,1.075,0.7111,9.1291,0.0636,0.0378,0.0117,0.3974,0.2203,9.9335,0.0322,0.0399,0.0123,0.7183,0.0239,9.8162,-0.0128,-0.0618,-0.0197
65,3.0740554,1,rest_initial,1.142,0.7254,9.177,0.065,0.0376,0.0101,0.3974,0.2298,9.8354,0.0306,0.0402,0.0123,0.7159,0.0551,9.833,-0.0138,-0.0597,-0.0101
66,3.0743531,1,rest_initial,1.0798,0.7326,9.1722,0.0644,0.0338,0.004,0.395,0.2011,9.9551,0.0272,0.0365,0.0128,0.7518,0.0168,9.8354,-0.0123,-0.0634,-0.0157
67,3.0746552,1,rest_initial,1.0894,0.7422,9.1506,0.0591,0.0402,0.0104,0.4214,0.2466,9.8833,0.0277,0.0413,0.0128,0.759,0.0311,9.7851,-0.0091,-0.0578,-0.013
68,3.0749553,1,rest_initial,1.1468,0.7183,9.1099,0.0684,0.0402,0.0107,0.4166,0.2777,9.924,0.0288,0.0415,0.0136,0.7781,0.0718,9.8569,-0.0109,-0.0636,-0.0165
69,3.0752662,1,rest_initial,1.1468,0.7207,9.1842,0.0618,0.041,0.0085,0.407,0.237,9.9383,0.0309,0.0394,0.012,0.7446,0.0192,9.8426,-0.0146,-0.0605,-0.0138
70,3.0756574,1,rest_initial,1.0989,0.6967,9.0812,0.0623,0.0429,0.0069,0.3663,0.1963,9.8258,0.032,0.041,0.0125,0.7111,0.0144,9.8545,-0.0112,-0.061,-0.0154
71,3.0760572,1,rest_initial,1.0702,0.7159,9.1842,0.0671,0.0373,0.0088,0.395,0.2179,9.8928,0.0312,0.0397,0.0146,0.7135,0.0263,9.8545,-0.0107,-0.0599,-0.0157
72,3.0763801,1,rest_initial,1.1013,0.7015,9.1482,0.0644,0.0381,0.0059,0.4118,0.2562,9.9383,0.0277,0.0381,0.0173,0.7733,0.0646,9.6726,-0.0117,-0.0597,-0.0157
73,3.076743,1,rest_initial,1.1037,0.6919,9.165,0.0634,0.0394,0.0072,0.4094,0.2897,10.1107,0.024,0.0421,0.0125,0.7278,0.0599,10.0245,-0.0112,-0.0655,-0.0123
74,3.0770573,1,rest_initial,1.0247,0.7015,8.9902,0.0671,0.0423,0.008,0.3591,0.2251,9.8545,0.0304,0.0402,0.0149,0.7254,-0.0096,9.9096,-0.0117,-0.0581,-0.0168
75,3.0773709,1,rest_initial,1.1325,0.7039,9.0429,0.0687,0.0328,0.0037,0.3974,0.2251,9.8545,0.0306,0.0397,0.013,0.7087,0.0455,9.8258,-0.0088,-0.0634,-0.0165
76,3.0776707,1,rest_initial,1.0965,0.68,9.2081,0.0644,0.0383,0.0051,0.395,0.249,9.9718,0.0304,0.0391,0.0128,0.7494,0.0024,9.9,-0.0133,-0.0626,-0.0149
77,3.0779683,1,rest_initial,1.1301,0.7614,9.1171,0.0615,0.0405,0.0077,0.4429,0.2634,9.924,0.0304,0.0437,0.012,0.7254,0.0599,9.8043,-0.0123,-0.0621,-0.0115
78,3.078271,1,rest_initial,1.1588,0.6871,9.1482,0.0615,0.0397,0.0072,0.4166,0.2346,9.9359,0.0266,0.0418,0.013,0.7278,0.0096,9.8043,-0.0125,-0.0599,-0.0144
79,3.0785652,1,rest_initial,1.1325,0.7111,9.1889,0.0636,0.0397,0.0069,0.3759,0.1844,9.9958,0.0296,0.0346,0.0152,0.747,-0.0072,9.8378,-0.0128,-0.0626,-0.0146
80,3.0788574,1,rest_initial,1.1253,0.7374,9.1746,0.0636,0.041,0.0069,0.4166,0.2729,9.9527,0.0306,0.0405,0.0117,0.7494,0.0886,9.8019,-0.0125,-0.0636,-0.0152
81,3.0791577,1,rest_initial,1.1157,0.7422,9.2033,0.0618,0.0445,0.0053,0.4286,0.2729,9.9072,0.0264,0.0378,0.013,0.7518,0.0622,9.8426,-0.0101,-0.0599,-0.0165
82,3.0796065,1,rest_initial,1.0942,0.759,9.1339,0.065,0.0394,0.0056,0.395,0.2729,9.8282,0.0317,0.0413,0.0133,0.7374,0.0838,9.7109,-0.0128,-0.0623,-0.0136
83,3.0801614,1,rest_initial,1.1037,0.6728,9.1674,0.0623,0.0399,0.0045,0.4262,0.2682,9.8617,0.0314,0.0402,0.0146,0.7302,0.0263,9.833,-0.0112,-0.0634,-0.017
84,3.0806386,1,rest_initial,1.1157,0.6847,9.1075,0.0583,0.036,0.008,0.4142,0.2442,9.9695,0.0282,0.041,0.0181,0.7781,0.0503,9.8497,-0.0115,-0.0629,-0.0152
85,3.0809735,1,rest_initial,1.1468,0.7159,9.1315,0.0706,0.037,0.0037,0.4094,0.2227,9.8809,0.0306,0.0402,0.0125,0.759,0.0287,9.833,-0.0123,-0.0639,-0.0168
86,3.0812912,1,rest_initial,1.1301,0.7159,9.1722,0.0636,0.0394,0.0099,0.4214,0.2658,9.9838,0.0282,0.0391,0.0149,0.735,0.0383,9.8809,-0.0077,-0.0607,-0.0144
87,3.0816001,1,rest_initial,1.1109,0.7063,9.1578,0.0671,0.0402,0.0093,0.4094,0.2274,9.9575,0.0293,0.0434,0.0136,0.7446,0.0431,9.9048,-0.0133,-0.0594,-0.0149
88,3.0819008,1,rest_initial,1.0846,0.6752,9.1028,0.0581,0.041,0.0059,0.407,0.2514,9.9647,0.0274,0.0386,0.013,0.7398,0.0287,9.8474,-0.0112,-0.0631,-0.0152
89,3.0821995,1,rest_initial,1.0918,0.68,9.1459,0.066,0.0354,0.0093,0.4166,0.2682,9.9575,0.0298,0.0439,0.0165,0.747,-0.0048,9.7947,-0.0128,-0.0602,-0.0149
90,3.0824948,1,rest_initial,1.1013,0.6967,9.1315,0.0671,0.0415,0.0064,0.407,0.2442,9.9288,0.0309,0.0399,0.0075,0.7566,0.0383,9.809,-0.013,-0.057,-0.0176
