sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,omega_orta_x,omega_orta_y,omega_orta_z,omega_sol_x,omega_sol_y,omega_sol_z,omega_sag_x,omega_sag_y,omega_sag_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm,nis
41,3.6750299,rest_initial,8.80658804434721e-05,-0.00652812013811639,-0.00230370889017262,0.000117779853650961,-0.00651985053713218,-0.00225494317297213,-0.00210906118636146,-0.00977459131247079,-0.00205782344698739,0.00196333489023822,-0.00373194768799628,-0.00190527790751984,0.000499065857076127,-0.00605301261092947,-0.00280172816440916,0.247988971561164,0.00604047163543469,0.0411577444802627,0.118628506063227,3.58989035901439
42,3.6753653,rest_initial,0.000854765128321258,-0.00421138868182846,-0.00234040958692532,0.000717779853650961,-0.00365318387046551,-0.00228827650630546,-0.000809061186361468,-0.00527459131247079,-0.00235782344698739,-0.000936665109761776,-0.00313194768799627,-0.00190527790751984,0.00389906585707613,-0.00255301261092947,-0.00260172816440916,0.154424393503511,0.00639901329335031,0.0278033411252889,0.104598973291495,1.53986611847557
43,3.6757088,rest_initial,0.00140707351123372,-0.00406891529249613,-0.00365856045410781,0.00125111318698429,-0.00401985053713218,-0.00378827650630546,-0.000309061186361467,-0.00367459131247079,-0.00345782344698739,0.000363334890238223,-0.00503194768799628,-0.00270527790751984,0.00369906585707613,-0.00335301261092947,-0.00520172816440916,0.139217497398696,0.00642149349143863,-0.00417443548867356,0.0784881005234144,2.10394199882269
44,3.6760493,rest_initial,0.000618999216960307,-0.00484923353647444,-0.00204191657708879,0.000284446520317627,-0.00498651720379885,-0.0017216098396388,-0.00400906118636147,-0.00627459131247079,-0.00125782344698739,0.00256333489023822,-0.00423194768799628,-5.27790751984197e-06,0.00229906585707613,-0.00445301261092947,-0.00390172816440916,0.253589887882665,0.00629390123147047,-0.0744982670529184,0.119153735629109,3.63554681034692
45,3.6763845,rest_initial,0.000680145060080539,-0.00477797533208306,-0.00260922793872183,0.000451113186984293,-0.00471985053713218,-0.0026216098396388,0.000990938813638528,-0.00677459131247079,-0.00125782344698739,0.000963334890238223,-0.00373194768799628,-0.00220527790751984,-0.000600934142923873,-0.00365301261092947,-0.00440172816440916,0.263954771555532,0.00630516353224642,-0.0525847092733175,0.0168964300888275,0.151156483720409
46,3.6767183,rest_initial,0.00210036718224796,-0.00382717721747902,-0.00237153487704459,0.0020511131869843,-0.00355318387046551,-0.00225494317297213,-0.000309061186361467,-0.00707459131247079,-0.00235782344698739,0.00336333489023823,-0.00153194768799628,-5.27790751984197e-06,0.00309906585707613,-0.00205301261092947,-0.00440172816440916,0.207936648627899,0.00646282632635065,-0.0582079965484882,0.0460078078673331,0.378964233972597
47,3.6771395,rest_initial,0.000101803036318254,-0.00515915132624236,-0.00195195255050763,-0.000348886813015707,-0.00541985053713218,-0.0018216098396388,0.000990938813638528,-0.00707459131247079,-0.00125782344698739,0.000363334890238223,-0.00613194768799628,0.000994722092480159,-0.00240093414292387,-0.00305301261092947,-0.00520172816440916,0.0972762609860069,0.0061876521490773,-0.026027850056231,0.0846149785470111,1.58384887824156
48,3.6777604,rest_initial,4.18455058377612e-05,-0.00543985106130018,-0.00291163371788422,-0.000182220146349037,-0.00545318387046552,-0.00298827650630546,-0.00110906118636146,-0.00977459131247079,-0.00635782344698739,-0.000936665109761776,-0.00213194768799628,-0.00400527790751984,0.00149906585707613,-0.00445301261092947,0.00139827183559084,0.0247543692006506,0.00610071747663776,0.00377507233466606,0.0999777367000246,1.43686047491529
49,3.6783293,rest_initial,-9.07387093234484e-05,-0.0045682018955807,-0.00136158403465865,-0.000315553479682372,-0.00435318387046551,-0.00105494317297213,-0.00210906118636146,-0.00707459131247079,-0.000757823446987388,0.00176333489023822,-0.00263194768799628,-0.00110527790751984,-0.000600934142923873,-0.00335301261092947,-0.00130172816440916,0.0459885228930165,0.00636168835245567,0.0124009470379574,0.0594942052519161,0.538122828234113
50,3.6789455,rest_initial,0.000424159086454335,-0.00694955633266758,-0.000846129400828747,0.000284446520317629,-0.00755318387046551,-0.000688276506305464,0.000790938813638536,-0.00527459131247079,0.00164217655301261,0.00276333489023822,-0.00823194768799627,-0.00220527790751984,-0.00270093414292387,-0.00915301261092948,-0.00150172816440916,0.0690833300153628,0.00558473337127078,-0.000396008921074784,0.0408115223475378,0.21135398224189
