sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,omega_orta_x,omega_orta_y,omega_orta_z,omega_sol_x,omega_sol_y,omega_sol_z,omega_sag_x,omega_sag_y,omega_sag_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm
3394,58.2068874,roll_z,-0.0769137410443608,-1.71552981592664,-0.158839591946837,-0.0210488868130157,-0.0126865172037988,-0.103588276506305,-0.0272090611863615,-0.0326745913124708,-0.0950578234469874,-0.0185366651097618,-0.00923194768799628,-0.10630527790752,-0.0174009341429239,0.00384698738907053,-0.109401728164409,-0.0587120564966293,0.0338093923837386,-0.138853129406583,0.43668933669702
3395,58.2071591,roll_z,-0.000847105252328645,-1.69990364961338,-0.200774529580742,0.059217779853651,0.000780149462867821,-0.147688276506305,0.0494909388136385,0.00592540868752921,-0.141957823446987,0.0613633348902382,-0.00533194768799627,-0.14650527790752,0.0667990658570761,0.00174698738907052,-0.154601728164409,0.00989716405502838,0.0399346002795584,-0.179660827320169,0.226185521004415
3396,58.2074199,roll_z,0.0116976560837787,-1.76070601941303,-0.227156562245275,0.0713844465203176,-0.0632531838704655,-0.174488276506305,0.0723909388136385,-0.0613745913124708,-0.174957823446987,0.0789633348902382,-0.0678319476879963,-0.17390527790752,0.0627990658570761,-0.0605530126109295,-0.174601728164409,-0.0114439495102051,0.0154069610878661,-0.158358288188569,0.151493058267772
3397,58.2076808,roll_z,-0.0379981271251469,-1.75462502424896,-0.171200474570154,0.020317779853651,-0.0553198505371322,-0.116588276506305,0.0281909388136385,-0.0691745913124708,-0.127257823446987,0.0216633348902382,-0.0559319476879963,-0.11610527790752,0.0110990658570761,-0.0408530126109295,-0.106401728164409,-0.152223756072608,0.0179194674067746,0.0297161333239485,0.47490323464544
3398,58.2079375,roll_z,-0.129474932473799,-1.68437542005274,-0.0780954108977807,-0.0724155534796824,0.0168468161295345,-0.0220882765063055,-0.0666090611863615,0.0216254086875292,-0.0276578234469874,-0.0725366651097618,0.0170680523120037,-0.0227052779075198,-0.0781009341429239,0.0118469873890705,-0.0159017281644092,-0.219162489756783,0.0467882576034373,0.193879052856708,0.428467235722699
3399,58.2082025,roll_z,-0.114455373959274,-1.69741871331662,-0.0494201859390728,-0.057882220146349,-0.00221985053713218,0.0168117234936945,-0.0682090611863615,-0.00657459131247079,0.0144421765530126,-0.0555366651097618,-0.00233194768799628,0.0161947220924802,-0.0499009341429239,0.00224698738907052,0.0197982718355908,-0.161882146218614,0.0466967909016406,0.285049002877836,0.28392437151247
3400,58.2084634,roll_z,-0.0346156275320208,-1.65806128595015,-0.0245078244198801,0.0494511131869843,0.0507801494628678,0.0648450568270279,0.0409909388136385,0.0496254086875292,0.0679421765530126,0.0448633348902382,0.0535680523120037,0.0638947220924801,0.0624990658570761,0.0491469873890705,0.0626982718355908,0.027085064793376,0.0469731861413706,0.25451632950242,0.512530610316589
3401,58.2087205,roll_z,0.0133072919741074,-1.64580087693388,-0.0590582316707079,0.113151113186984,0.0670134827962012,0.0192450568270279,0.112390938813639,0.0653254086875292,0.0168421765530126,0.109363334890238,0.0671680523120037,0.0199947220924802,0.117699065857076,0.0685469873890705,0.0208982718355908,0.0393747200325425,0.0471396247357351,0.242089952714633,0.213476921846362
3402,58.2089809,roll_z,-0.00239082203201847,-1.66859983808907,-0.0344912355132542,0.0925844465203176,0.0373134827962011,0.0507117234936945,0.0963909388136385,0.0411254086875292,0.0490421765530126,0.0919633348902382,0.0437680523120037,0.0523947220924802,0.0893990658570761,0.0270469873890705,0.0506982718355908,-0.0354572233157638,0.0459951835227452,0.264117033486791,0.248456543924492
3403,58.2092467,roll_z,-0.0502250600400984,-1.71575385430584,-0.0301895345103319,0.0336511131869843,-0.0210531838704655,0.0557783901603612,0.0404909388136385,-0.0219745913124708,0.0546421765530126,0.0341633348902382,-0.0210319476879963,0.0555947220924802,0.0262990658570761,-0.0201530126109295,0.0570982718355908,-0.165664404742431,0.0388608656179902,0.261199653816941,0.347287417591259
3404,58.2095026,roll_z,-0.107210474927718,-1.72294043642923,-0.0439420161516963,-0.0391488868130157,-0.0299865172037988,0.0375117234936945,-0.0344090611863615,-0.0347745913124708,0.0405421765530126,-0.0427366651097618,-0.0324319476879963,0.0377947220924802,-0.0403009341429239,-0.0227530126109295,0.0341982718355908,-0.24701822744829,0.0384199319450041,0.200688095379403,0.273416305891029
3405,58.2097666,roll_z,-0.112751929977279,-1.76196758647354,-0.044764682970488,-0.0466155534796824,-0.0804198505371322,0.0367783901603612,-0.0493090611863615,-0.0680745913124708,0.0373421765530126,-0.0518366651097618,-0.0801319476879963,0.0377947220924802,-0.0387009341429239,-0.0930530126109295,0.0351982718355908,-0.211053221887384,0.0359522423163772,0.216018870519517,0.176226814119619
3406,58.2100265,roll_z,-0.0758952081899579,-1.78171225570383,-0.0504781035081295,0.00731777985365096,-0.106053183870466,0.0316450568270279,0.00239093881363854,-0.109574591312471,0.0373421765530126,0.00706333489023822,-0.107531947687996,0.0337947220924802,0.0124990658570761,-0.101053012610929,0.0237982718355908,-0.156998748453861,0.0358027113641717,0.135782149075437,0.383236425622164
3407,58.2102821,roll_z,-0.044656472315441,-1.84315104080369,-0.0661319536683584,0.0477844465203176,-0.187153183870466,0.0109117234936945,0.0510909388136385,-0.171974591312471,0.0146421765530126,0.0488633348902382,-0.186131947687996,0.00819472209248016,0.0433990658570761,-0.203353012610929,0.00989827183559084,-0.161092348961574,0.034429129528886,0.170556303860981,0.210456852391819
3408,58.2105418,roll_z,-0.0469501481702748,-1.91542781183852,-0.0743167668743146,0.0445844465203176,-0.279986517203799,0.000311723493694537,0.0436909388136385,-0.281674591312471,-0.000457823446987388,0.0480633348902382,-0.282531947687996,0.00209472209248016,0.0419990658570761,-0.275753012610929,-0.000701728164409162,-0.178192650540197,0.0287387310822114,0.212979289479235,0.256728089059255
3409,58.2107952,roll_z,-0.0403435698721696,-1.87066138422316,-0.0723985106709233,0.0526844465203176,-0.225653183870466,0.0026783901603612,0.0492909388136385,-0.220974591312471,0.00904217655301261,0.0531633348902382,-0.223631947687996,0.00479472209248016,0.0555990658570761,-0.232353012610929,-0.00580172816440916,-0.130216531893011,0.0377171025532119,0.109264932218933,0.26253414907428
3410,58.2110516,roll_z,-0.0239386877363472,-1.88215218467491,-0.111271971654558,0.0747844465203176,-0.240919850537132,-0.0475216098396388,0.0729909388136385,-0.238774591312471,-0.0409578234469874,0.0741633348902382,-0.239631947687996,-0.0442052779075198,0.0771990658570761,-0.24435301261093,-0.0574017281644092,-0.12705410341372,0.036977252932326,0.00191486308713364,0.251831822665023
3411,58.2113953,roll_z,-0.0361839912787363,-1.86455497037951,-0.127323845392565,0.0596511131869843,-0.217753183870466,-0.0741882765063055,0.0683909388136385,-0.231074591312471,-0.0742578234469874,0.0629633348902382,-0.218331947687996,-0.0690052779075198,0.0475990658570761,-0.203853012610929,-0.0793017281644092,-0.210487636282709,0.037156231438602,-0.015781880997509,0.238426940376119
3412,58.2117089,roll_z,-0.0724719732902676,-1.78052267941766,-0.130493519900409,0.0112511131869843,-0.107053183870466,-0.0790549431729721,0.0185909388136385,-0.107774591312471,-0.0774578234469874,0.0136633348902382,-0.109931947687996,-0.0815052779075199,0.00149906585707613,-0.103453012610929,-0.0782017281644092,-0.257754156951553,0.0397852751855163,0.0154914612817195,0.269149379879348
3413,58.2119989,roll_z,-0.106449690247585,-1.72934882498841,-0.0964383361932491,-0.0449155534796824,-0.0397531838704655,-0.0361882765063055,-0.0424090611863615,-0.0392745913124708,-0.0383578234469874,-0.0432366651097618,-0.0401319476879963,-0.0370052779075198,-0.0491009341429239,-0.0398530126109295,-0.0332017281644092,-0.293757995642062,0.0402373398149595,0.155806541177511,0.326504083703933
3414,58.2122608,roll_z,-0.119100948884311,-1.76717143110642,-0.067757351189006,-0.0636488868130157,-0.0898198505371322,0.00161172349369454,-0.0634090611863615,-0.0842745913124708,-0.00265782344698739,-0.0670366651097618,-0.0897319476879963,-5.27790751984197e-06,-0.0605009341429239,-0.0954530126109295,0.00749827183559084,-0.289798057149793,0.0393355860788568,0.25863057741543,0.193708057121852
3415,58.2125376,roll_z,-0.118430997925882,-1.8028781026411,-0.0487429813514401,-0.0627488868130157,-0.135719850537132,0.0259450568270279,-0.0631090611863615,-0.140474591312471,0.0330421765530126,-0.0622366651097618,-0.136031947687996,0.0236947220924802,-0.0629009341429239,-0.130653012610929,0.0210982718355908,-0.299209028908115,0.0362034506913071,0.252389474209978,0.137290859962139
3416,58.2128031,roll_z,-0.138103456406041,-1.77440466467296,-0.0842594700906608,-0.0861822201463491,-0.101119850537132,-0.0169216098396388,-0.0847090611863615,-0.107174591312471,-0.0108578234469874,-0.0851366651097618,-0.0993319476879963,-0.0160052779075198,-0.0887009341429239,-0.0968530126109295,-0.0239017281644092,-0.348736641400783,0.0425172340082391,0.121269167542514,0.255075831477095
3417,58.2130637,roll_z,-0.15989880724279,-1.71718578129029,-0.102256157490546,-0.110248886813016,-0.0371865172037988,-0.0367216098396388,-0.109209061186361,-0.0408745913124708,-0.0396578234469874,-0.111736665109762,-0.0375319476879963,-0.0392052779075198,-0.109800934142924,-0.0331530126109295,-0.0313017281644092,-0.378057646730817,0.0637689233412377,0.139598516068056,0.157182370994948
3418,58.2133356,roll_z,-0.152049713179988,-1.73766654695942,-0.0600354536234913,-0.104115553479682,-0.0655198505371322,0.0205450568270279,-0.110509061186361,-0.0542745913124708,0.0168421765530126,-0.102936665109762,-0.0622319476879963,0.0217947220924802,-0.0989009341429239,-0.0800530126109295,0.0229982718355908,-0.331815563191454,0.0635921983410989,0.189709728847007,0.25932444391593
3419,58.2135942,roll_z,-0.145619225236452,-1.83603750303186,-0.0474359906945239,-0.097182220146349,-0.195153183870466,0.0369450568270279,-0.0940090611863615,-0.188474591312471,0.0346421765530126,-0.0970366651097618,-0.195731947687996,0.0377947220924802,-0.100500934142924,-0.201253012610929,0.0383982718355908,-0.342303170558629,0.060576681891721,0.283684128390609,0.281428839562668
