sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm
4366,75.5386285,rest_final,0.139119615092889,-9.69727518773469,-0.0945598079403768,0.139122300852492,-9.69727514648057,-0.0945508932553007,2.58584010545789,0.026099246790166,5.09190752112521,1.49799843256329
4367,75.5543361,rest_final,0.147477280050268,-9.69972138050924,-0.0309105260206097,0.14747716160101,-9.69972137611568,-0.0309115034627211,2.56582315113096,0.0258828710355195,5.14187209862834,1.57296358346787
4368,75.5859642,rest_final,0.164168324476255,-9.70129816860502,0.00675446951632749,0.164160095342573,-9.70129796944616,0.00674198218111385,2.36313625658098,0.0249597617081612,5.28456427126885,1.5097961508977
4369,75.6016087,rest_final,0.168665435126726,-9.70354311297144,0.0179728132334166,0.168653454140401,-9.70354319760497,0.0179500832544357,2.37257673879562,0.0230325370825385,5.30420216018254,1.50099362386131
4370,75.6171213,rest_final,0.14318847621163,-9.70462595375083,-0.117723977556236,0.143188766053496,-9.70462595007487,-0.117721894015447,2.44413694730938,0.022914641199403,5.34604643274537,1.64111993782119
4371,75.6334516,rest_final,0.130469091626735,-9.70070655542255,-0.0879719281562464,0.130475134641687,-9.70070668368309,-0.0879832005463777,2.25478805509006,0.0238783708338248,5.05232028207262,1.51549052654271
4372,75.6494036,rest_final,0.139820771449712,-9.70077287192032,-0.0757243570798908,0.139813129849866,-9.70077281923659,-0.0757490992737879,2.28711048470676,0.0234272222854248,5.02363889484674,1.64276268187535
4373,75.6690377,rest_final,0.180810647461821,-9.70329287066174,-0.17102828895527,0.1808100743323,-9.70329283276375,-0.171026782650313,2.36979691794215,0.0230276142338413,5.09437167057683,1.5046945190644
4374,75.6852749,rest_final,0.181477434019757,-9.70447433447193,-0.148723888572601,0.181477946346757,-9.70447430832599,-0.148732519080981,2.41036356577907,0.0225110552398592,5.12687068003724,1.47579252425532
4375,75.7012491,rest_final,0.177657756540118,-9.70267347792275,-0.131861869814922,0.177667777904382,-9.70267393630665,-0.131890117132471,2.28720169522737,0.0242911516501779,4.65697405612696,1.56152635392
4376,75.7169526,rest_final,0.177858296888288,-9.7003482320414,-0.118888809101922,0.177842690094521,-9.70034786209906,-0.11895877874056,1.89735727732451,0.0319006790476006,4.54174276273222,1.62625971728821
4377,75.7493614,rest_final,0.181866547299209,-9.70209916290863,-0.115612140106284,0.181805334131267,-9.7021004512042,-0.115755401185308,1.80207947010442,-0.0025560202463283,4.26278983593732,1.51345562580824
4378,75.7655515,rest_final,0.18149497587361,-9.70168618428455,-0.113099626857852,0.181480730217798,-9.70168318281112,-0.113185918743142,1.77915781319222,0.00160300975564387,4.32627794647258,1.53076949846515
4379,75.7807919,rest_final,0.147318157818706,-9.70044651148292,-0.0698431625543106,0.147318557539322,-9.70044645745516,-0.0698438470281216,1.77672407522462,0.00165801893825029,4.36393036982019,1.45537700486824
4380,75.7970541,rest_final,0.176114377470566,-9.70901464922546,-0.0688018970515804,0.176099235458704,-9.70901440732104,-0.0688013257333028,2.06346649814388,-0.000548133096266166,4.94203450267315,1.57122238981331
4381,75.8136311,rest_final,0.134265840199913,-9.71051334559641,-0.126481641291226,0.134266342714766,-9.71051331781072,-0.126480811687008,2.11004208989909,-0.000712422401453707,4.98311686358819,1.53083459903033
4382,75.8392897,rest_final,0.141877083843303,-9.7097220657917,-0.129954021504159,0.141873673822083,-9.70972198567276,-0.129952756679927,2.62128084733612,-0.000382366573798582,4.98368122998616,1.58164768121476
4383,75.8551575,rest_final,0.147132204884322,-9.71063208986838,-0.116506280333188,0.147122611659876,-9.71063202594977,-0.116525578699767,2.80128886502532,-0.00125366927849074,4.95434671736566,1.61360852697274
4384,75.8713779,rest_final,0.150949115480143,-9.71181770812792,-0.108303307223314,0.150917653273581,-9.71181789466594,-0.108362192934352,2.75270301315288,-0.00506862678616116,4.94029827202275,1.4644201864917
4385,75.8871304,rest_final,0.152453145337383,-9.71027218171685,-0.103200294861613,0.152448080675627,-9.71027267431949,-0.103299738068913,2.3759399457477,0.00711698179828013,4.6783516710776,1.37697364028543
4386,75.9034967,rest_final,0.15500932544841,-9.71179365850283,-0.101082525355679,0.154927191532686,-9.71179420321677,-0.101196530422543,2.18807826252645,-0.0112033744262394,4.86565211999394,1.60640660158445
4387,75.9208982,rest_final,0.176683246680389,-9.71570294612369,-0.16947655526309,0.176682937849176,-9.71570288828719,-0.169475499273836,2.24898770856132,-0.0115496086586978,4.92798248233337,1.56098891236016
4388,75.9392156,rest_final,0.174283663351688,-9.71302359116774,-0.120985097007989,0.174285558995062,-9.71302365390834,-0.12100594598091,1.85371026142968,-0.0105665530630405,4.9094965040915,1.61347190368313
4389,75.9547585,rest_final,0.179413374262741,-9.71301079584803,-0.118559227441291,0.179394793126689,-9.71301035713626,-0.118558128670608,2.55938798604057,-0.0103732446381492,5.00130902569603,1.56863087104224
4390,75.9708041,rest_final,0.163476724484785,-9.7169104521697,-0.0512702597440946,0.163476946619453,-9.716910375597,-0.0512713323496364,2.53892372213741,-0.0108072356740198,5.06221953625555,1.58855972259992
4391,75.9866134,rest_final,0.161018989344985,-9.71861945559963,-0.0530333273476458,0.161020504261859,-9.71861951211164,-0.0530320028583927,2.81336625827514,-0.0113245855737015,5.00036821805647,1.53511291319391
4392,76.0181003,rest_final,0.178657335580451,-9.72007422366928,-0.0619061404013457,0.178657106379176,-9.72007419955863,-0.0619060105118866,2.79684170258637,-0.0116299258743137,5.08404690448065,1.52651053212807
4393,76.0344453,rest_final,0.16449920212336,-9.71883041939068,-0.0557125403736066,0.164504250563899,-9.71883051634233,-0.0557149086765649,2.91277841737111,-0.0111370935406218,4.85546466537301,1.55559638902115
